is_primary_nan,total_area,basement,elevator,balcony,property_level,heating_type_nan,balcony_nan,row_price_m2,total_property_level,parking_nan,url,building_type_nan,building_year,heating_type,price,is_primary,total_property_level_nan,elevator_nan,id,is_parking,no_rooms,district_norm,building_type,property_level_nan,building_year_nan,portal_name,basement_nan
0,38.0,0,0,1,5,0,0,18075,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-plk-witolda-lokuciewskiego-38m2-mzn2043480632,0,2016,urban,695000.0,0,0,0,mzn2043480632,1,2,bemowo,apartment,0,0,morizon,0
0,60.0,1,0,1,2,0,0,11573,6,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-kluczowa-60m2-mzn2043455626,1,1978,urban,699000.0,0,0,0,mzn2043455626,1,3,bielany,UNKNOWN,0,0,morizon,0
0,41.0,0,1,0,4,0,0,16996,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-jana-nowaka-jezioranskiego-41m2-mzn2043451321,0,2022,urban,713000.0,0,0,0,mzn2043451321,1,2,praga poludnie,apartment,0,0,morizon,0
0,41.0,0,1,0,4,0,0,16996,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-jana-nowaka-jezioranskiego-41m2-mzn2043451321,0,2022,urban,713000.0,0,0,0,mzn2043451321,1,2,praga poludnie,apartment,0,0,morizon,0
0,53.0,0,0,1,2,0,0,13480,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-labiszynska-53m2-mzn2043307861,1,1970,urban,719000.0,0,0,0,mzn2043307861,1,3,UNKNOWN,UNKNOWN,0,0,morizon,0
0,53.0,0,0,1,2,0,0,13541,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-przejezdna-53m2-mzn2043485360,0,2016,individual,720000.0,0,0,0,mzn2043485360,1,3,bialoleka,apartment,0,0,morizon,0
0,51.0,1,0,1,1,0,0,13981,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-grojecka-51m2-mzn2043457676,1,1965,urban,720000.0,0,0,0,mzn2043457676,1,3,ochota,UNKNOWN,0,0,morizon,0
0,29.0,0,0,1,1,0,0,24872,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-zygmunta-krasinskiego-29m2-mzn2043490670,1,2015,urban,728000.0,0,0,0,mzn2043490670,1,1,zoliborz,UNKNOWN,0,0,morizon,0
0,41.0,1,1,0,3,0,0,17927,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-mlynarska-41m2-mzn2043486255,0,1953,urban,735000.0,0,0,0,mzn2043486255,1,2,wola,tenement,0,0,morizon,0
0,39.0,1,1,0,3,0,0,17927,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-brazylijska-39m2-mzn2043488989,0,1953,urban,735000.0,0,0,0,mzn2043488989,1,2,praga poludnie,tenement,0,0,morizon,0
0,40.0,1,0,0,5,0,0,18500,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-tadeusza-rejtana-40m2-mzn2043480609,1,1978,urban,740000.0,0,0,0,mzn2043480609,1,2,mokotow,UNKNOWN,0,0,morizon,0
0,38.0,1,0,1,2,0,0,19579,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-wojciecha-chrzanowskiego-38m2-mzn2043483528,0,1950,urban,744000.0,0,0,0,mzn2043483528,1,2,praga poludnie,apartment,0,0,morizon,0
0,56.0,1,0,0,100,0,0,13095,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-melomanow-56m2-mzn2043458580,0,1992,urban,745000.0,0,1,0,mzn2043458580,1,2,mokotow,block,1,0,morizon,0
0,28.0,1,0,0,100,0,0,13095,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-icchoka-lejba-pereca-28m2-mzn2043367793,0,1992,urban,745000.0,0,1,0,mzn2043367793,1,2,wola,block,1,0,morizon,0
0,44.0,0,0,0,6,0,0,17387,14,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-gorczewska-44m2-mzn2043489332,1,2008,urban,769900.0,0,0,0,mzn2043489332,1,2,UNKNOWN,UNKNOWN,0,0,morizon,0
0,43.0,0,0,0,6,0,0,17387,14,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-gen-romana-abrahama-43m2-mzn2043400398,1,2008,urban,769900.0,0,0,0,mzn2043400398,1,2,praga poludnie,UNKNOWN,0,0,morizon,0
0,56.0,0,0,1,3,0,0,13929,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursus-stanislawa-wojciechowskiego-56m2-mzn2043509611,1,1994,urban,780000.0,0,0,0,mzn2043509611,1,2,ursus,UNKNOWN,0,0,morizon,0
0,47.0,0,0,1,3,0,0,13929,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-marii-grzegorzewskiej-47m2-mzn2043455814,1,1994,urban,780000.0,0,0,0,mzn2043455814,1,2,ursynow,UNKNOWN,0,0,morizon,0
0,47.0,0,0,1,2,0,0,16702,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-47m2-mzn2043268577,1,2023,urban,785000.0,1,0,0,mzn2043268577,1,2,bielany,UNKNOWN,0,0,morizon,0
0,48.0,0,0,1,2,0,0,16702,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-hansa-christiana-andersena-48m2-mzn2043483299,1,2023,urban,785000.0,1,0,0,mzn2043483299,1,2,bielany,UNKNOWN,0,0,morizon,0
0,32.0,1,0,0,10,0,0,24969,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-32m2-mzn2043456532,1,1973,urban,799000.0,0,0,0,mzn2043456532,1,1,srodmiescie,UNKNOWN,0,0,morizon,0
0,32.0,1,0,0,10,0,0,24969,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-32m2-mzn2043456532,1,1973,urban,799000.0,0,0,0,mzn2043456532,1,1,srodmiescie,UNKNOWN,0,0,morizon,0
